"id","kind","url","file","ok","skipped"
"32","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=32","records_xml\032.xml","true","true"
"32","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=32","records_html\032.html","true","true"
"33","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=33","records_xml\033.xml","true","true"
"33","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=33","records_html\033.html","true","true"
"34","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=34","records_xml\034.xml","true","false"
"34","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=34","records_html\034.html","true","false"
"35","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=35","records_xml\035.xml","true","false"
"35","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=35","records_html\035.html","true","false"
"36","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=36","records_xml\036.xml","true","false"
"36","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=36","records_html\036.html","true","false"
"37","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=37","records_xml\037.xml","true","false"
"37","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=37","records_html\037.html","true","false"
"38","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=38","records_xml\038.xml","true","false"
"38","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=38","records_html\038.html","true","false"
"39","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=39","records_xml\039.xml","true","false"
"39","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=39","records_html\039.html","true","false"
"40","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=40","records_xml\040.xml","true","false"
"40","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=40","records_html\040.html","true","false"
"41","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=41","records_xml\041.xml","true","false"
"41","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=41","records_html\041.html","true","false"
"42","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=42","records_xml\042.xml","true","false"
"42","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=42","records_html\042.html","true","false"
"43","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=43","records_xml\043.xml","true","false"
"43","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=43","records_html\043.html","true","false"
"44","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=44","records_xml\044.xml","true","false"
"44","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=44","records_html\044.html","true","false"
"45","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=45","records_xml\045.xml","true","false"
"45","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=45","records_html\045.html","true","false"
"46","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=46","records_xml\046.xml","true","false"
"46","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=46","records_html\046.html","true","false"
"47","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=47","records_xml\047.xml","true","false"
"47","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=47","records_html\047.html","true","false"
"48","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=48","records_xml\048.xml","true","false"
"48","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=48","records_html\048.html","true","false"
"49","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=49","records_xml\049.xml","true","false"
"49","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=49","records_html\049.html","true","false"
"50","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=50","records_xml\050.xml","true","false"
"50","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=50","records_html\050.html","true","false"
"51","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=51","records_xml\051.xml","true","false"
"51","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=51","records_html\051.html","true","false"
"52","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=52","records_xml\052.xml","true","false"
"52","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=52","records_html\052.html","true","false"
"53","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=53","records_xml\053.xml","true","false"
"53","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=53","records_html\053.html","true","false"
"54","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=54","records_xml\054.xml","true","false"
"54","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=54","records_html\054.html","true","false"
"55","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=55","records_xml\055.xml","true","false"
"55","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=55","records_html\055.html","true","false"
"56","xml","https://nisee.berkeley.edu/spd/servlet/display?format=xml&id=56","records_xml\056.xml","true","false"
"56","html","https://nisee.berkeley.edu/spd/servlet/display?format=html&id=56","records_html\056.html","true","false"
