"id","type","description","url"
"113","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ba1.txt"
"114","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ba2.txt"
"115","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ba3.txt"
"116","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ba4.txt"
"117","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ca1.txt"
"118","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ca2.txt"
"119","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ca3.txt"
"120","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ca4.txt"
"121","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ab1.txt"
"122","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ab2.txt"
"123","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ab3.txt"
"124","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96ab4.txt"
"125","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96bb1.txt"
"126","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96bb2.txt"
"127","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96bb4.txt"
"128","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96bb4b.txt"
"129","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96cb1.txt"
"130","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96cb2.txt"
"131","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96cb3.txt"
"132","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/gal96cb4.txt"
"133","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wehb98a1.txt"
"134","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wehb98a2.txt"
"135","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wehb98b1.txt"
"136","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/wehb98b2.txt"
"137","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ly3clh18.txt"
"138","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ly2clh18.txt"
"139","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ly2cmh18.txt"
"140","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ly3cmh18.txt"
"141","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ly3cmd12.txt"
"142","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ly3slh18.txt"
"143","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ly2slh18.txt"
