"id","type","description","url","file","ok","skipped"
"45","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/zho30207.txt","force_displacement_data\045_zho30207.txt","true","false"
"46","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/zho31207.txt","force_displacement_data\046_zho31207.txt","true","false"
"47","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/zho32207.txt","force_displacement_data\047_zho32207.txt","true","false"
"48","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/kanstc1.txt","force_displacement_data\048_kanstc1.txt","true","false"
"49","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/kanstc2.txt","force_displacement_data\049_kanstc2.txt","true","false"
"50","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/kanstc3.txt","force_displacement_data\050_kanstc3.txt","true","false"
"51","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/kanpdc1.txt","force_displacement_data\051_kanpdc1.txt","true","false"
"52","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/kanpdc2.txt","force_displacement_data\052_kanpdc2.txt","true","false"
"53","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/kanpdc3.txt","force_displacement_data\053_kanpdc3.txt","true","false"
"54","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ara89oa2.txt","force_displacement_data\054_ara89oa2.txt","true","false"
"55","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ara89oa5.txt","force_displacement_data\055_ara89oa5.txt","true","false"
"56","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/mug89al1.txt","force_displacement_data\056_mug89al1.txt","true","false"
"57","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/mug89ah1.txt","force_displacement_data\057_mug89ah1.txt","true","false"
"58","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/mug89al2.txt","force_displacement_data\058_mug89al2.txt","true","false"
"59","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/mug89ah2.txt","force_displacement_data\059_mug89ah2.txt","true","false"
"60","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/mug89bl1.txt","force_displacement_data\060_mug89bl1.txt","true","false"
"61","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/mug89bh1.txt","force_displacement_data\061_mug89bh1.txt","true","false"
"62","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/mug89bl2.txt","force_displacement_data\062_mug89bl2.txt","true","false"
"63","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/mug89bh2.txt","force_displacement_data\063_mug89bh2.txt","true","false"
"64","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ono025c.txt","force_displacement_data\064_ono025c.txt","true","false"
"65","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ono060c.txt","force_displacement_data\065_ono060c.txt","true","false"
"66","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/sak90b1.txt","force_displacement_data\066_sak90b1.txt","true","false"
"67","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/sak90b2.txt","force_displacement_data\067_sak90b2.txt","true","false"
"68","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/sak90b3.txt","force_displacement_data\068_sak90b3.txt","true","false"
"69","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/sak90b4.txt","force_displacement_data\069_sak90b4.txt","true","false"
"70","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/sak90b5.txt","force_displacement_data\070_sak90b5.txt","true","false"
"71","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/sak90b6.txt","force_displacement_data\071_sak90b6.txt","true","false"
"72","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/sak90b7.txt","force_displacement_data\072_sak90b7.txt","true","false"
"73","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/amcb060c.txt","force_displacement_data\073_amcb060c.txt","true","false"
"74","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ws033ae.txt","force_displacement_data\074_ws033ae.txt","true","false"
"75","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/ws033aw.txt","force_displacement_data\075_ws033aw.txt","true","false"
